S12_001,S12_001c,S12_001g,S12_002,S12_003,S12_004,S12_005,S12_006,S12_007,S12_008,S12_009,S12_010,S12_011,S12_012,S12_013,S12_014,S12_015,S12_016,S12_017,S12_018,S12_019,S12_020,S12_021,S12_022,S12_023,S12_024,S12_025,S12_026,S12_027,S12_028,S12_029,S12_030,S12_031,S12_032,S12_033,S12_034,S12_035,S12_036,S12_037,S12_038,S12_039,S12_040,S12_041,S12_042,S12_043,S12_044,S12_045,S12_046,S12_047,S12_048,S12_049,S12_050,S12_051,S12_052,S12_053,S12_054,S12_055,S12_056,S12_057,geometry
二月田,010112,010112,九州旅客鉄道,指宿枕崎線,11,2,1,3,,0,1,3,,0,1,3,,0,1,3,,0,1,3,,0,1,3,,0,1,3,,0,1,1,,658,1,1,,690,1,1,,318,1,1,,305,1,1,,622,1,1,,664,"LINESTRING (130.63035 31.25405, 130.62985 31.25459)"
古島,010127,010127,沖縄都市モノレール,沖縄都市モノレール線,23,5,1,1,,3907,1,1,,3980,1,1,,4572,1,1,,4187,1,1,,4648,1,1,,4528,1,1,,4819,1,1,,5086,1,1,,5143,1,1,,3404,1,1,,3534,1,1,,4401,1,1,,4903,"LINESTRING (127.70279 26.23035, 127.70309 26.23093)"
お台場海浜公園,004091,004091,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,14612,1,1,,16130,1,1,,16357,1,1,,16515,1,1,,17537,1,1,,17488,1,1,,16944,1,1,,17165,1,1,,16899,1,1,,7703,1,1,,8535,1,1,,11171,1,1,,13195,"LINESTRING (139.77818 35.62961, 139.77888 35.63)"
東京国際クルーズターミナル,004128,004128,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,3767,1,1,,3235,1,1,,3407,1,1,,3782,1,1,,3682,1,1,,3682,1,1,,3590,1,1,,3551,1,1,,3191,1,1,,1383,1,1,,1984,1,1,,2300,1,1,,2963,"LINESTRING (139.7733251503908 35.62108845898435, 139.77288121093744 35.62162643359376)"
テレコムセンター,004144,004144,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,12112,1,1,,12775,1,1,,13366,1,1,,14138,1,1,,14069,1,1,,14069,1,1,,13744,1,1,,13475,1,1,,12140,1,1,,6536,1,1,,7631,1,1,,8118,1,1,,8505,"LINESTRING (139.78001 35.61791, 139.77932 35.61754)"
汐留,003896,003887,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,6841,1,1,,7617,1,1,,7734,1,1,,8273,1,1,,8877,1,1,,8877,1,1,,9045,1,1,,9562,1,1,,8755,1,1,,3289,1,1,,4056,1,1,,5650,1,1,,7463,"LINESTRING (139.76036 35.66328, 139.75979 35.66269)"
台場,004112,004112,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,17018,1,1,,24583,1,1,,23694,1,1,,23809,1,1,,24252,1,1,,24252,1,1,,23436,1,1,,24687,1,1,,21421,1,1,,5967,1,1,,8143,1,1,,14135,1,1,,20606,"LINESTRING (139.77103 35.62568, 139.77172 35.62606)"
有明,004064,004064,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,4279,1,1,,4953,1,1,,5018,1,1,,5226,1,1,,5545,1,1,,5545,1,1,,5061,1,1,,5781,1,1,,5818,1,1,,3786,1,1,,5256,1,1,,7669,1,1,,9242,"LINESTRING (139.79313 35.63482, 139.79355 35.63428)"
東京ビッグサイト,004087,004087,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,17468,1,1,,18509,1,1,,20573,1,1,,19958,1,1,,21943,1,1,,20082,1,1,,20916,1,1,,20530,1,1,,16690,1,1,,4941,1,1,,7671,1,1,,13876,1,1,,19352,"LINESTRING (139.792 35.63059, 139.7906 35.62983)"
新橋,003882,003872,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,54025,1,1,,61995,1,1,,63165,1,1,,63973,1,1,,66676,1,1,,66676,1,1,,64852,1,1,,68180,1,1,,63123,1,1,,24320,1,1,,31169,1,1,,44343,1,1,,56027,"LINESTRING (139.76082 35.6648, 139.75898 35.66583, 139.75896 35.66612)"
竹芝,003958,003958,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,4127,1,1,,4133,1,1,,4505,1,1,,4752,1,1,,4894,1,1,,4894,1,1,,5006,1,1,,4924,1,1,,4508,1,1,,2251,1,1,,3018,1,1,,4126,1,1,,4833,"LINESTRING (139.76179 35.65378, 139.76224 35.65435)"
芝浦ふ頭,004030,004030,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,4793,1,1,,4843,1,1,,4720,1,1,,4769,1,1,,5102,1,1,,5078,1,1,,5308,1,1,,5232,1,1,,5090,1,1,,3425,1,1,,3756,1,1,,4313,1,1,,4907,"LINESTRING (139.75786 35.64249, 139.75788 35.64195)"
日の出,003979,003979,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,2102,1,1,,2288,1,1,,2178,1,1,,2181,1,1,,2304,1,1,,2304,1,1,,2282,1,1,,2425,1,1,,2322,1,1,,1251,1,1,,1584,1,1,,2015,1,1,,2404,"LINESTRING (139.75932 35.64961, 139.759 35.64891)"
青海,004119,004119,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,5895,1,1,,5543,1,1,,5310,1,1,,5348,1,1,,5748,1,1,,5683,1,1,,5673,1,1,,8995,1,1,,11884,1,1,,2102,1,1,,3648,1,1,,1707,1,1,,1483,"LINESTRING (139.78072 35.62447, 139.78191 35.62513)"
新豊洲,003981,003981,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,1302,1,1,,1600,1,1,,1860,1,1,,2765,1,1,,4522,1,1,,4522,1,1,,3924,1,1,,6642,1,1,,6796,1,1,,2461,1,1,,3519,1,1,,7144,1,1,,11256,"LINESTRING (139.78985 35.64853, 139.79038 35.64889)"
市場前,004001,004001,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,49,1,1,,113,1,1,,156,1,1,,583,1,1,,2708,1,1,,2708,1,1,,2583,1,1,,7902,1,1,,11393,1,1,,6193,1,1,,7302,1,1,,11285,1,1,,13997,"LINESTRING (139.7853 35.64548, 139.786 35.6459)"
有明テニスの森,004037,004037,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,2925,1,1,,3074,1,1,,2964,1,1,,3100,1,1,,3237,1,1,,3237,1,1,,3942,1,1,,4164,1,1,,5022,1,1,,3775,1,1,,4833,1,1,,6351,1,1,,8148,"LINESTRING (139.78913 35.63971, 139.78866 35.64025)"
豊洲,003961,003951,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,16060,1,1,,17877,1,1,,18796,1,1,,20325,1,1,,24003,1,1,,24003,1,1,,22518,1,1,,28199,1,1,,28916,1,1,,15723,1,1,,19824,1,1,,27545,1,1,,33957,"LINESTRING (139.79504 35.65341, 139.79583 35.654)"
新石切,007215,007215,近畿日本鉄道,けいはんな線,21,4,1,1,,17162,1,1,,17202,1,1,,17202,1,1,,17202,1,1,,18030,1,1,,18030,1,1,,18030,1,1,,18240,1,1,,18240,1,1,,14556,1,1,,16187,1,1,,17109,1,1,,17153,"LINESTRING (135.64171 34.68009, 135.64165 34.68009, 135.63993 34.68011)"
長田,007233,007232,近畿日本鉄道,けいはんな線,21,4,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,1,1,,0,1,1,,0,2,1,,0,2,1,,0,2,1,,0,"LINESTRING (135.59111 34.67876, 135.59282 34.67875)"
